#This is a data from a paper “Brain size evolution in pipefishes and seahorses: the role of feeding ecology, life history and sexual selection” by Tsuboi, Masahito, Lim, Adam Chee Ooi, Ooi, Boon Leong, Yip, Mei Yee, Chong, Ving Ching, Ahnesjö, Ingrid, Kolm, Niclas. In case the data presented below will be used, please do cite this paper. 

First, the data for brain mass and body length for 339 individuals across 23 species are presented. Then, head shape of 23 species as described with 12 homologous landmarks are presented in NTS format. Finally, a nexus format description of molecular-morphological phylogeny (see paper for details) is provided. Uses needs to separate these three parts of this file with appropriate file extensions (.txt, .NTS and .nex) to repeat the analyses presented in the paper. Questions will be answered by Masahito Tsuboi (masa.tsuboi@gmail.com).

#1: Species Data

Species	Sex	Length (mm)	Brain weight (mg)	Preservative	Sampled location	Sample code
Corythoichthys haematopterus	f	112.6	3.27	Formalin	Japan	
Corythoichthys haematopterus	f	115.0	3.97	Formalin	Japan	
Corythoichthys haematopterus	f	121.4	4.83	Formalin	Japan	
Corythoichthys haematopterus	f	122.4	4.09	Formalin	Japan	
Corythoichthys haematopterus	f	128.0	4.29	Formalin	Japan	
Corythoichthys haematopterus	f	119.1	3.56	Formalin	Japan	
Corythoichthys haematopterus	f	115.2	4.23	Formalin	Japan	
Corythoichthys haematopterus	f	128.2	3.95	Formalin	Japan	
Corythoichthys haematopterus	f	121.0	4.46	Formalin	Japan	
Corythoichthys haematopterus	f	111.4	3.23	Formalin	Japan	
Corythoichthys haematopterus	f	138.5	5.08	Formalin	Japan	
Corythoichthys haematopterus	f	132.5	5.38	Formalin	Japan	
Corythoichthys haematopterus	f	134.4	5.38	Formalin	Japan	
Corythoichthys haematopterus	f	142.2	5.56	Formalin	Japan	
Corythoichthys haematopterus	f	138.0	5.99	Formalin	Japan	
Corythoichthys haematopterus	f	133.1	5.56	Formalin	Japan	
Corythoichthys haematopterus	f	138.1	5.93	Formalin	Japan	
Corythoichthys haematopterus	f	133.5	5.79	Formalin	Japan	
Corythoichthys haematopterus	f	121.7	5.77	Formalin	Japan	
Corythoichthys haematopterus	f	133.8	5.45	Formalin	Japan	
Corythoichthys haematopterus	f	125.2	5.24	Formalin	Japan	
Corythoichthys haematopterus	f	123.0	4.95	Formalin	Japan	
Corythoichthys haematopterus	f	130.1	5.50	Formalin	Japan	
Corythoichthys haematopterus	f	134.0	5.77	Formalin	Japan	
Corythoichthys haematopterus	f	140.7	6.23	Formalin	Japan	
Corythoichthys haematopterus	f	140.1	5.80	Formalin	Japan	
Corythoichthys haematopterus	f	121.7	4.07	Formalin	Japan	
Corythoichthys haematopterus	f	126.7	4.29	Formalin	Japan	
Corythoichthys haematopterus	f	106.1	5.17	Formalin	Japan	
Corythoichthys haematopterus	f	136.8	6.07	Formalin	Japan	
Corythoichthys haematopterus	f	117.2	4.18	Formalin	Japan	
Corythoichthys haematopterus	f	124.6	4.88	Formalin	Japan	
Corythoichthys haematopterus	f	133.7	5.57	Formalin	Japan	
Corythoichthys haematopterus	f	133.9	5.79	Formalin	Japan	
Corythoichthys haematopterus	f	134.5	6.42	Formalin	Japan	
Corythoichthys haematopterus	m	115.5	4.39	Formalin	Japan	
Corythoichthys haematopterus	m	128.7	5.20	Formalin	Japan	
Corythoichthys haematopterus	m	124.7	4.65	Formalin	Japan	
Corythoichthys haematopterus	m	128.3	4.60	Formalin	Japan	
Corythoichthys haematopterus	m	122.7	4.91	Formalin	Japan	
Corythoichthys haematopterus	m	122.0	3.77	Formalin	Japan	
Corythoichthys haematopterus	m	115.7	4.44	Formalin	Japan	
Corythoichthys haematopterus	m	124.4	4.25	Formalin	Japan	
